date,open,high,low,close,5. volume,symbol,source
2025-05-06,111.48,114.74,110.822,113.54,158525621.0,NVDA,DAILY
2025-05-06,273.105,277.73,271.35,275.35,76715792.0,TSLA,DAILY
2025-05-07,113.045,117.68,112.2818,117.06,207827821.0,NVDA,DAILY
2025-05-07,276.88,277.92,271.0,276.22,71882408.0,TSLA,DAILY
2025-05-08,118.25,118.68,115.85,117.37,198428122.0,NVDA,DAILY
2025-05-08,279.63,289.8,279.41,284.82,97539448.0,TSLA,DAILY
2025-05-09,117.35,118.23,115.21,116.65,132972189.0,NVDA,DAILY
2025-05-09,290.21,307.04,290.0,298.26,132387835.0,TSLA,DAILY
2025-05-12,121.97,123.0,120.28,123.0,225023345.0,NVDA,DAILY
2025-05-12,321.99,322.21,311.5,318.38,112826661.0,TSLA,DAILY
2025-05-13,124.98,131.2189,124.47,129.93,330430105.0,NVDA,DAILY
2025-05-13,320.0,337.5894,316.8,334.07,136992574.0,TSLA,DAILY
2025-05-14,133.195,135.435,131.68,135.34,281180830.0,NVDA,DAILY
2025-05-14,342.5,350.0,337.0,347.68,136997264.0,TSLA,DAILY
2025-05-15,134.295,136.3,132.66,134.83,226632563.0,NVDA,DAILY
2025-05-15,340.34,346.1393,334.7153,342.82,97882596.0,TSLA,DAILY
2025-05-16,136.22,136.35,133.46,135.4,226542451.0,NVDA,DAILY
2025-05-16,346.24,351.62,342.33,349.98,95895665.0,TSLA,DAILY
2025-05-19,132.39,135.87,132.39,135.57,193154571.0,NVDA,DAILY
2025-05-19,336.3,343.0,333.37,342.09,88869853.0,TSLA,DAILY
2025-05-20,134.29,134.58,132.62,134.38,161514247.0,NVDA,DAILY
2025-05-20,347.87,354.9899,341.63,343.82,131715548.0,TSLA,DAILY
2025-05-21,133.06,137.4,130.59,131.8,270608738.0,NVDA,DAILY
2025-05-21,344.43,347.35,332.2,334.62,102354844.0,TSLA,DAILY
2025-05-22,132.23,134.25,131.55,132.83,187343954.0,NVDA,DAILY
2025-05-22,331.9,347.27,331.39,341.04,97113416.0,TSLA,DAILY
2025-05-23,130.0,132.68,129.16,131.29,198821324.0,NVDA,DAILY
2025-05-23,337.92,343.18,333.21,339.34,84654818.0,TSLA,DAILY
2025-05-27,134.15,135.66,133.31,135.5,192953613.0,NVDA,DAILY
2025-05-27,347.35,363.79,347.32,362.89,120146414.0,TSLA,DAILY
2025-05-28,136.025,137.25,134.79,134.81,304021146.0,NVDA,DAILY
2025-05-28,364.84,365.0,355.91,356.9,91404309.0,TSLA,DAILY
2025-05-29,142.245,143.49,137.91,139.19,370615167.0,NVDA,DAILY
2025-05-29,365.29,367.71,356.0,358.43,88545666.0,TSLA,DAILY
2025-05-30,138.715,139.62,132.92,135.13,333170851.0,NVDA,DAILY
2025-05-30,355.52,363.68,345.29,346.46,123474938.0,TSLA,DAILY
2025-06-02,135.49,138.12,135.4,137.38,197663116.0,NVDA,DAILY
2025-06-02,343.5,348.02,333.33,342.69,81873829.0,TSLA,DAILY
2025-06-03,138.78,142.0,137.95,141.22,225578783.0,NVDA,DAILY
2025-06-03,346.595,355.4,343.04,344.27,99324544.0,TSLA,DAILY
2025-06-04,142.19,142.39,139.545,141.92,167120819.0,NVDA,DAILY
2025-06-04,345.095,345.6,327.3308,332.05,98912075.0,TSLA,DAILY
2025-06-05,142.17,144.0,138.83,139.99,232410759.0,NVDA,DAILY
2025-06-05,322.49,324.5499,273.21,284.7,292818655.0,TSLA,DAILY
2025-06-06,142.51,143.27,141.51,141.72,153986153.0,NVDA,DAILY
2025-06-06,298.83,305.5,291.14,295.14,164747685.0,TSLA,DAILY
2025-06-09,143.19,145.0,141.94,142.63,185114494.0,NVDA,DAILY
2025-06-09,285.955,309.83,281.85,308.58,140908876.0,TSLA,DAILY
2025-06-10,142.69,144.29,141.525,143.96,155881897.0,NVDA,DAILY
2025-06-10,314.94,327.83,310.667,326.09,151256520.0,TSLA,DAILY
2025-06-11,144.61,144.99,141.87,142.83,167694044.0,NVDA,DAILY
2025-06-11,334.395,335.5,322.5,326.43,122611360.0,TSLA,DAILY
2025-06-12,141.97,145.0,141.85,145.0,162364991.0,NVDA,DAILY
2025-06-12,323.075,332.56,316.86,319.11,105127536.0,TSLA,DAILY
2025-06-13,142.48,143.58,140.855,141.97,180820565.0,NVDA,DAILY
2025-06-13,313.97,332.99,313.3,325.31,128964279.0,TSLA,DAILY
2025-06-16,143.345,146.175,143.2001,144.69,183133666.0,NVDA,DAILY
2025-06-16,331.29,332.05,326.41,329.13,83925858.0,TSLA,DAILY
2025-06-17,144.49,145.22,143.78,144.12,139108000.0,NVDA,DAILY
2025-06-17,326.09,327.26,314.74,316.35,88282669.0,TSLA,DAILY
2025-06-18,144.005,145.65,143.12,145.48,161494121.0,NVDA,DAILY
2025-06-18,317.31,329.32,315.45,322.05,95137686.0,TSLA,DAILY
2025-06-20,145.45,146.2,142.65,143.85,242956157.0,NVDA,DAILY
2025-06-20,327.95,332.36,317.78,322.16,108688008.0,TSLA,DAILY
2025-06-23,142.5,144.78,142.03,144.17,154308941.0,NVDA,DAILY
2025-06-23,327.54,357.54,327.48,348.68,190716815.0,TSLA,DAILY
2025-06-24,145.56,147.96,145.5,147.9,187566121.0,NVDA,DAILY
2025-06-24,356.17,356.26,340.44,340.47,114736245.0,TSLA,DAILY
2025-06-25,149.27,154.45,149.26,154.31,269146471.0,NVDA,DAILY
2025-06-25,342.7,343.0,320.4,327.55,119845050.0,TSLA,DAILY
2025-06-26,155.975,156.715,154.0,155.02,198145746.0,NVDA,DAILY
2025-06-26,324.61,331.05,323.61,325.78,80440907.0,TSLA,DAILY
2025-06-27,156.04,158.71,155.255,157.75,263234539.0,NVDA,DAILY
2025-06-27,324.51,329.3393,317.495,323.63,89067049.0,TSLA,DAILY
2025-06-30,158.4,158.66,155.96,157.99,194580316.0,NVDA,DAILY
2025-06-30,319.9,325.5799,316.6,317.66,76695081.0,TSLA,DAILY
2025-07-01,156.29,157.2,151.49,153.3,213143621.0,NVDA,DAILY
2025-07-01,298.46,305.89,293.21,300.71,145085665.0,TSLA,DAILY
2025-07-02,152.98,157.6,152.97,157.25,171224111.0,NVDA,DAILY
2025-07-02,312.63,316.832,303.82,315.65,119483730.0,TSLA,DAILY
2025-07-03,158.37,160.98,157.77,159.34,143716055.0,NVDA,DAILY
2025-07-03,317.99,318.45,312.76,315.35,58042302.0,TSLA,DAILY
2025-07-07,158.2,159.31,157.342,158.24,140138975.0,NVDA,DAILY
2025-07-07,291.37,296.15,288.7701,293.94,131177949.0,TSLA,DAILY
2025-07-08,159.33,160.22,158.39,160.0,138133025.0,NVDA,DAILY
2025-07-08,297.0,304.0499,294.35,297.81,103246742.0,TSLA,DAILY
2025-07-09,161.22,164.42,161.16,162.88,183656443.0,NVDA,DAILY
2025-07-09,297.55,300.15,293.55,295.88,75586771.0,TSLA,DAILY
2025-07-10,164.32,164.5,161.61,164.1,167704075.0,NVDA,DAILY
2025-07-10,300.05,310.48,300.0,309.87,104365271.0,TSLA,DAILY
2025-07-11,163.715,167.89,163.47,164.92,193633263.0,NVDA,DAILY
2025-07-11,307.89,314.09,305.65,313.51,79236442.0,TSLA,DAILY
2025-07-14,165.37,165.49,162.02,164.07,136975754.0,NVDA,DAILY
2025-07-14,317.73,322.5986,312.67,316.9,78043430.0,TSLA,DAILY
2025-07-15,171.19,172.4,169.195,170.7,230627350.0,NVDA,DAILY
2025-07-15,319.675,321.2,310.5,310.78,77556346.0,TSLA,DAILY
2025-07-16,171.06,171.75,168.9,171.37,158831509.0,NVDA,DAILY
2025-07-16,312.8,323.5,312.62,321.67,97284786.0,TSLA,DAILY
2025-07-17,172.02,174.16,170.83,173.0,160841119.0,NVDA,DAILY
2025-07-17,323.15,324.34,317.0601,319.41,73922870.0,TSLA,DAILY
2025-07-18,173.64,174.25,171.26,172.41,146456416.0,NVDA,DAILY
2025-07-18,321.66,330.9,321.42,329.65,94254993.0,TSLA,DAILY
2025-07-21,172.75,173.38,171.0,171.38,123126136.0,NVDA,DAILY
2025-07-21,334.4,338.0,326.88,328.49,75768797.0,TSLA,DAILY
2025-07-22,171.34,171.39,164.58,167.03,193114327.0,NVDA,DAILY
2025-07-22,329.74,335.4098,321.55,332.11,77370371.0,TSLA,DAILY
2025-07-23,169.53,171.26,167.97,170.78,154082197.0,NVDA,DAILY
2025-07-23,330.9,336.2,328.67,332.56,92553756.0,TSLA,DAILY
2025-07-24,172.44,173.83,171.3,173.74,128984628.0,NVDA,DAILY
2025-07-24,310.0,310.15,300.41,305.3,156966023.0,TSLA,DAILY
2025-07-25,173.61,174.72,172.96,173.5,122316792.0,NVDA,DAILY
2025-07-25,308.74,323.63,308.01,316.06,148227027.0,TSLA,DAILY
2025-07-28,174.02,177.0,173.97,176.75,140023521.0,NVDA,DAILY
2025-07-28,318.45,330.49,315.69,325.59,112673755.0,TSLA,DAILY
2025-07-29,177.96,179.38,175.02,175.51,154077512.0,NVDA,DAILY
2025-07-29,325.55,326.25,318.25,321.2,87358861.0,TSLA,DAILY
2025-07-30,176.51,179.89,176.04,179.27,174312208.0,NVDA,DAILY
2025-07-30,322.18,324.4499,311.6164,319.04,83931942.0,TSLA,DAILY
2025-07-31,182.9,183.3,175.93,177.87,221685446.0,NVDA,DAILY
2025-07-31,319.605,321.37,306.1,308.27,85270919.0,TSLA,DAILY
2025-08-01,174.09,176.54,170.89,173.72,204528985.0,NVDA,DAILY
2025-08-01,306.205,309.31,297.82,302.63,89121446.0,TSLA,DAILY
2025-08-04,175.16,180.2,174.52,180.0,148174609.0,NVDA,DAILY
2025-08-04,309.08,312.1186,303.0001,309.26,78683905.0,TSLA,DAILY
2025-08-05,179.62,180.26,175.9,178.26,156407621.0,NVDA,DAILY
2025-08-05,308.95,312.4499,305.5,308.72,57961278.0,TSLA,DAILY
2025-08-06,176.325,179.9,176.25,179.42,137192265.0,NVDA,DAILY
2025-08-06,307.89,320.47,306.9345,319.91,78523579.0,TSLA,DAILY
2025-08-07,181.57,183.88,178.795,180.77,151878365.0,NVDA,DAILY
2025-08-07,319.79,322.4,316.16,322.27,66658672.0,TSLA,DAILY
2025-08-08,181.55,183.3,180.4,182.7,123396679.0,NVDA,DAILY
2025-08-08,321.43,335.15,320.98,329.65,91200319.0,TSLA,DAILY
2025-08-11,182.05,183.84,180.25,182.06,138323191.0,NVDA,DAILY
2025-08-11,335.0,346.64,334.15,339.03,105320174.0,TSLA,DAILY
2025-08-12,182.96,184.48,179.46,183.16,145729202.0,NVDA,DAILY
2025-08-12,345.0,345.26,332.94,340.84,80690111.0,TSLA,DAILY
2025-08-13,182.615,183.97,179.35,181.59,179871724.0,NVDA,DAILY
2025-08-13,341.5,348.98,338.2,339.38,67838892.0,TSLA,DAILY
2025-08-14,179.75,183.02,179.46,182.02,129553959.0,NVDA,DAILY
2025-08-14,335.76,340.4699,330.4,335.58,75000662.0,TSLA,DAILY
2025-08-15,181.88,181.9,178.0417,180.45,156602161.0,NVDA,DAILY
2025-08-15,337.655,339.3,327.02,330.56,74319792.0,TSLA,DAILY
2025-08-18,180.6,182.9375,180.59,182.01,132007959.0,NVDA,DAILY
2025-08-18,329.62,336.27,329.59,335.16,56956552.0,TSLA,DAILY
2025-08-19,182.43,182.5,175.49,175.64,185229219.0,NVDA,DAILY
2025-08-19,335.79,340.55,327.85,329.31,75956002.0,TSLA,DAILY
2025-08-20,175.165,176.0,168.801,175.4,215142725.0,NVDA,DAILY
2025-08-20,329.22,331.37,314.6,323.9,77481768.0,TSLA,DAILY
2025-08-21,174.85,176.9,173.81,174.98,140040850.0,NVDA,DAILY
2025-08-21,322.08,324.9,318.68,320.11,55744445.0,TSLA,DAILY
2025-08-22,172.61,178.59,171.2,177.99,172789427.0,NVDA,DAILY
2025-08-22,321.66,340.25,319.69,340.01,94016347.0,TSLA,DAILY
2025-08-25,178.35,181.91,176.57,179.81,163012789.0,NVDA,DAILY
2025-08-25,338.9,349.53,335.03,346.6,86670037.0,TSLA,DAILY
2025-08-26,180.055,182.39,178.81,181.77,168688186.0,NVDA,DAILY
2025-08-26,344.93,351.9,343.72,351.67,76651550.0,TSLA,DAILY
2025-08-27,181.98,182.49,179.1,181.6,235518949.0,NVDA,DAILY
2025-08-27,351.94,355.39,349.156,349.6,65519012.0,TSLA,DAILY
2025-08-28,180.82,184.47,176.41,180.17,281787824.0,NVDA,DAILY
2025-08-28,350.91,353.55,340.26,345.98,67903224.0,TSLA,DAILY
2025-08-29,178.11,178.15,173.145,174.18,243257873.0,NVDA,DAILY
2025-08-29,347.23,348.7499,331.7,333.87,81145660.0,TSLA,DAILY
2025-09-02,170.0,172.379,167.22,170.78,231164853.0,NVDA,DAILY
2025-09-02,328.23,333.33,325.6,329.36,58391952.0,TSLA,DAILY
2025-09-03,171.06,172.41,168.875,170.62,161466040.0,NVDA,DAILY
2025-09-03,335.2,343.33,328.51,334.09,88238894.0,TSLA,DAILY
2025-09-04,170.57,171.86,169.41,171.66,141670144.0,NVDA,DAILY
2025-09-04,336.15,338.89,331.48,338.53,60711033.0,TSLA,DAILY
2025-09-05,168.03,169.03,164.07,167.02,224441435.0,NVDA,DAILY
2025-09-05,348.0,355.87,344.6801,350.84,108989785.0,TSLA,DAILY
2025-09-08,167.55,170.96,167.35,168.31,163769133.0,NVDA,DAILY
2025-09-08,354.64,358.44,344.84,346.4,75208290.0,TSLA,DAILY
2025-09-09,169.09,170.98,166.7401,170.76,157548392.0,NVDA,DAILY
2025-09-09,348.44,350.77,343.82,346.97,53815991.0,TSLA,DAILY
2025-09-10,176.64,179.29,175.47,177.33,226852020.0,NVDA,DAILY
2025-09-10,350.55,356.33,346.07,347.79,72121679.0,TSLA,DAILY
2025-09-11,179.68,180.28,176.48,177.17,151159274.0,NVDA,DAILY
2025-09-11,350.17,368.99,347.6,368.81,103756010.0,TSLA,DAILY
2025-09-12,177.77,178.595,176.45,177.82,124911026.0,NVDA,DAILY
2025-09-12,370.94,396.6899,370.24,395.94,168156391.0,TSLA,DAILY
2025-09-15,175.67,178.85,174.51,177.75,147061559.0,NVDA,DAILY
2025-09-15,423.13,425.7,402.43,410.04,163823667.0,TSLA,DAILY
2025-09-16,177.0,177.5,174.38,174.88,140737775.0,NVDA,DAILY
2025-09-16,414.495,423.25,411.43,421.62,104285721.0,TSLA,DAILY
2025-09-17,172.64,173.2,168.41,170.29,211843817.0,NVDA,DAILY
2025-09-17,415.75,428.3121,409.67,425.86,106133532.0,TSLA,DAILY
2025-09-18,173.98,177.1,172.96,176.24,191763313.0,NVDA,DAILY
2025-09-18,428.865,432.2199,416.56,416.85,90454509.0,TSLA,DAILY
2025-09-19,175.77,178.08,175.18,176.67,237182143.0,NVDA,DAILY
2025-09-19,421.82,429.47,421.72,426.07,93131034.0,TSLA,DAILY
2025-09-22,175.3,184.55,174.7053,183.61,269637001.0,NVDA,DAILY
2025-09-22,431.11,444.98,429.13,434.21,97108777.0,TSLA,DAILY
2025-09-23,181.97,182.42,176.21,178.43,192559552.0,NVDA,DAILY
2025-09-23,439.88,440.97,423.72,425.85,83422691.0,TSLA,DAILY
2025-09-24,179.77,179.78,175.4,176.97,143564116.0,NVDA,DAILY
2025-09-24,429.83,444.21,429.0301,442.79,93133570.0,TSLA,DAILY
2025-09-25,174.48,180.26,173.125,177.69,191586733.0,NVDA,DAILY
2025-09-25,435.24,435.35,419.08,423.39,96746426.0,TSLA,DAILY
2025-09-26,178.17,179.77,174.93,178.19,148573732.0,NVDA,DAILY
2025-09-26,428.3,440.47,421.02,440.4,101628160.0,TSLA,DAILY
